SNO,Instance_ID,Instance_Type,Architecture,Launch_Time,Private_IP,Public_DNS,Volume_Id
1,i-0dae02637fa51c75b,t2.micro,x86_64,2020-05-06/21/20,172.31.39.96,,vol-018dedc2d66c0777b
2,i-0f3605ff137991621,t2.micro,x86_64,2020-27-06/01/20,172.31.42.67,,vol-0e8ef0e3b374a117a
3,i-0c9cf66f095c1970f,t2.micro,x86_64,2020-03-05/27/20,172.31.34.35,,vol-06a435226281688bc
4,i-0bee3db3c7539cdc5,t2.micro,x86_64,2020-29-06/01/20,172.31.34.172,,vol-02b453599519a1dbc
5,i-0cbac4924365048ba,t2.micro,x86_64,2020-22-06/09/20,172.31.28.240,,vol-08790355930697d4c
